stock_code,stock_name,date,open,close,high,low,volume,amount
600108,亚盛集团,2026-05-07,4.38,4.36,4.42,4.29,71542846,0
600108,亚盛集团,2026-05-08,4.35,4.42,4.49,4.33,70962709,0
600108,亚盛集团,2026-05-11,4.43,4.39,4.49,4.38,61474497,0
600108,亚盛集团,2026-05-12,4.4,4.2,4.4,4.15,79240241,0
600108,亚盛集团,2026-05-13,4.2,4.26,4.31,4.17,72870001,0
600108,亚盛集团,2026-05-14,4.26,4.11,4.26,4.09,62908146,0
600108,亚盛集团,2026-05-15,4.08,3.96,4.1,3.92,72222644,0
600108,亚盛集团,2026-05-18,3.96,3.94,4.01,3.9,54953469,0
600108,亚盛集团,2026-05-19,3.95,3.91,3.97,3.84,52232500,0
600108,亚盛集团,2026-05-20,3.88,3.83,3.9,3.76,50436300,0
600108,亚盛集团,2026-05-21,3.83,3.64,3.86,3.62,66869277,0
600108,亚盛集团,2026-05-22,3.69,3.69,3.71,3.61,67252600,0
600108,亚盛集团,2026-05-25,3.69,3.61,3.71,3.59,54362725,0
600108,亚盛集团,2026-05-26,3.62,3.58,3.63,3.48,76685082,0
600108,亚盛集团,2026-05-27,3.57,3.49,3.59,3.46,57313204,0
600108,亚盛集团,2026-05-28,3.49,3.54,3.61,3.46,58415194,0
600108,亚盛集团,2026-05-29,3.53,3.47,3.58,3.44,62519400,0
600108,亚盛集团,2026-06-01,3.46,3.54,3.56,3.44,62526623,0
600108,亚盛集团,2026-06-02,3.53,3.43,3.54,3.4,60956267,0
600108,亚盛集团,2026-06-03,3.44,3.44,3.49,3.4,52016443,0
600108,亚盛集团,2026-06-04,3.41,3.41,3.48,3.36,58485614,0
600108,亚盛集团,2026-06-05,3.4,3.38,3.46,3.36,52227476,0
600108,亚盛集团,2026-06-08,3.3,3.29,3.47,3.26,73123123,0
600108,亚盛集团,2026-06-09,3.33,3.28,3.34,3.22,52235900,0
600108,亚盛集团,2026-06-10,3.26,3.29,3.39,3.25,72744259,0
600108,亚盛集团,2026-06-11,3.28,3.62,3.62,3.26,77168360,0
600108,亚盛集团,2026-06-12,3.76,3.59,3.79,3.44,309858931,0
600108,亚盛集团,2026-06-15,3.57,3.68,3.73,3.51,255968917,0
600108,亚盛集团,2026-06-16,3.63,3.65,3.73,3.6,147467936,0
600108,亚盛集团,2026-06-17,3.62,3.43,3.63,3.41,129371602,0
600127,金健米业,2026-05-07,6.77,6.7,6.81,6.7,22695900,0
600127,金健米业,2026-05-08,6.71,6.76,6.78,6.7,17191212,0
600127,金健米业,2026-05-11,6.76,6.77,6.79,6.71,18557332,0
600127,金健米业,2026-05-12,6.77,6.68,6.78,6.64,20761155,0
600127,金健米业,2026-05-13,6.65,6.67,6.7,6.61,15941513,0
600127,金健米业,2026-05-14,6.66,6.59,6.74,6.58,19589482,0
600127,金健米业,2026-05-15,6.58,6.48,6.59,6.46,18420849,0
600127,金健米业,2026-05-18,6.52,6.51,6.52,6.4,13943517,0
600127,金健米业,2026-05-19,6.5,6.51,6.54,6.43,10336583,0
600127,金健米业,2026-05-20,6.5,6.39,6.5,6.39,12879800,0
600127,金健米业,2026-05-21,6.4,6.26,6.43,6.24,15710198,0
600127,金健米业,2026-05-22,6.25,6.29,6.34,6.18,11398863,0
600127,金健米业,2026-05-25,6.25,6.23,6.29,6.18,10652201,0
600127,金健米业,2026-05-26,6.17,6.11,6.22,6.06,14930652,0
600127,金健米业,2026-05-27,6.11,5.95,6.13,5.91,19809067,0
600127,金健米业,2026-05-28,6.0,5.96,6.04,5.87,10650900,0
600127,金健米业,2026-05-29,5.95,6.0,6.08,5.94,13111301,0
600127,金健米业,2026-06-01,6.06,6.33,6.42,5.97,27265824,0
600127,金健米业,2026-06-02,6.3,6.2,6.3,6.15,13862668,0
600127,金健米业,2026-06-03,6.23,6.13,6.25,6.03,15467348,0
600127,金健米业,2026-06-04,6.11,6.06,6.2,6.01,10994242,0
600127,金健米业,2026-06-05,6.03,6.05,6.12,6.02,9627462,0
600127,金健米业,2026-06-08,6.0,5.93,6.07,5.89,10685437,0
600127,金健米业,2026-06-09,5.94,5.76,5.97,5.7,14058647,0
600127,金健米业,2026-06-10,5.75,5.73,5.8,5.68,9699936,0
600127,金健米业,2026-06-11,5.71,5.79,5.82,5.66,10940500,0
600127,金健米业,2026-06-12,5.76,5.84,5.85,5.67,12222110,0
600127,金健米业,2026-06-15,5.82,5.84,5.89,5.75,11599783,0
600127,金健米业,2026-06-16,5.84,5.73,5.84,5.71,8933716,0
600127,金健米业,2026-06-17,5.74,5.56,5.74,5.55,11644238,0
000061,农产品,2026-05-07,7.55,7.4,7.6,7.34,21225649,0
000061,农产品,2026-05-08,7.39,7.42,7.5,7.37,12465233,0
000061,农产品,2026-05-11,7.42,7.38,7.45,7.27,16956243,0
000061,农产品,2026-05-12,7.38,7.18,7.4,7.16,20257197,0
000061,农产品,2026-05-13,7.19,7.3,7.43,7.11,29402668,0
000061,农产品,2026-05-14,7.3,7.09,7.32,7.06,18469708,0
000061,农产品,2026-05-15,7.09,6.9,7.09,6.82,22279670,0
000061,农产品,2026-05-18,6.89,6.68,6.89,6.63,20659518,0
000061,农产品,2026-05-19,6.7,6.73,6.77,6.63,14523767,0
000061,农产品,2026-05-20,6.73,6.66,6.73,6.54,12359100,0
000061,农产品,2026-05-21,6.68,6.48,6.71,6.47,12445500,0
000061,农产品,2026-05-22,6.53,6.53,6.63,6.42,12450448,0
000061,农产品,2026-05-25,6.54,6.56,6.59,6.46,11699991,0
000061,农产品,2026-05-26,6.53,6.55,6.65,6.48,13315792,0
000061,农产品,2026-05-27,6.54,6.44,6.62,6.36,14696840,0
000061,农产品,2026-05-28,6.42,6.34,6.46,6.27,11108524,0
000061,农产品,2026-05-29,6.34,6.46,6.69,6.32,24952036,0
000061,农产品,2026-06-01,6.4,6.6,6.67,6.28,21479286,0
000061,农产品,2026-06-02,6.64,6.34,6.73,6.33,23176509,0
000061,农产品,2026-06-03,6.34,6.32,6.37,6.23,13891223,0
000061,农产品,2026-06-04,6.31,6.22,6.37,6.19,13577800,0
000061,农产品,2026-06-05,6.23,6.21,6.32,6.18,13855700,0
000061,农产品,2026-06-08,6.18,6.06,6.28,5.99,17967034,0
000061,农产品,2026-06-09,6.06,5.99,6.08,5.93,12218787,0
000061,农产品,2026-06-10,5.98,5.96,6.03,5.9,11268801,0
000061,农产品,2026-06-11,5.96,5.87,5.99,5.86,11387000,0
000061,农产品,2026-06-12,5.91,6.09,6.15,5.86,19518122,0
000061,农产品,2026-06-15,6.08,6.14,6.18,6.04,14830629,0
000061,农产品,2026-06-16,6.08,6.06,6.12,6.0,10606959,0
000061,农产品,2026-06-17,6.08,5.84,6.08,5.82,17516998,0
600540,新赛股份,2026-05-07,5.65,5.55,5.78,5.52,51499766,0
600540,新赛股份,2026-05-08,5.57,5.59,5.7,5.51,33973534,0
600540,新赛股份,2026-05-11,5.54,5.68,5.83,5.5,48608540,0
600540,新赛股份,2026-05-12,5.7,5.62,5.82,5.57,38464121,0
600540,新赛股份,2026-05-13,5.64,5.66,5.74,5.5,29086064,0
600540,新赛股份,2026-05-14,5.62,5.73,5.99,5.53,55653202,0
600540,新赛股份,2026-05-15,5.7,5.5,5.7,5.43,43088192,0
600540,新赛股份,2026-05-18,5.49,5.41,5.57,5.32,33757570,0
600540,新赛股份,2026-05-19,5.45,5.35,5.48,5.24,24675200,0
600540,新赛股份,2026-05-20,5.38,5.28,5.4,5.19,20720380,0
600540,新赛股份,2026-05-21,5.26,4.95,5.32,4.91,21084900,0
600540,新赛股份,2026-05-22,5.0,5.05,5.08,4.85,20552384,0
600540,新赛股份,2026-05-25,5.02,4.95,5.09,4.92,14177800,0
600540,新赛股份,2026-05-26,5.08,4.8,5.12,4.72,24856990,0
600540,新赛股份,2026-05-27,4.76,4.65,4.84,4.61,21402941,0
600540,新赛股份,2026-05-28,4.64,4.55,4.72,4.46,21858700,0
600540,新赛股份,2026-05-29,4.55,4.54,4.64,4.48,25999150,0
600540,新赛股份,2026-06-01,4.49,4.99,4.99,4.48,29662469,0
600540,新赛股份,2026-06-02,4.9,4.92,5.07,4.8,45684800,0
600540,新赛股份,2026-06-03,5.0,4.92,5.13,4.83,40877651,0
600540,新赛股份,2026-06-04,4.94,4.77,5.15,4.71,41412920,0
600540,新赛股份,2026-06-05,4.85,4.69,4.92,4.63,30236101,0
600540,新赛股份,2026-06-08,4.61,4.52,4.93,4.48,39930161,0
600540,新赛股份,2026-06-09,4.53,4.48,4.59,4.32,32808630,0
600540,新赛股份,2026-06-10,4.46,4.39,4.54,4.31,22979410,0
600540,新赛股份,2026-06-11,4.37,4.45,4.55,4.25,24537830,0
600540,新赛股份,2026-06-12,4.47,4.46,4.59,4.32,25389521,0
